Vigencia;Recurso;Valor Pagado;Nación / Propio
2020;10.0-Aportes Nacion - Funcionamiento;1.65813E+11;Recursos Nación
2020;20-Propios;25972900181;Recursos Propios
2020;30-Extensión y Posgrados;34033124114;Recursos Propios
2021;10.0-Aportes Nacion - Funcionamiento;1.86347E+11;Recursos Nación
2021;20-Propios;15766684903;Recursos Propios
2021;30-Extensión y Posgrados;37062818913;Recursos Propios
2022;10.0-Aportes Nacion - Funcionamiento;2.08125E+11;Recursos Nación
2022;20-Propios;21173778368;Recursos Propios
2022;30-Extensión y Posgrados;35367694560;Recursos Propios
2023;10.0-Aportes Nacion - Funcionamiento;2.38668E+11;Recursos Nación
2023;20-Propios;15655945666;Recursos Propios
2023;30-Extensión y Posgrados;55648384355;Recursos Propios
2024;10.0-Aportes Nacion - Funcionamiento;2.3027E+11;Recursos Nación
2024;13 - Cooperativas;1177593838;Recursos Nación
2024;14 - Matriculas FSE;13125259989;Recursos Nación
2024;17 - Devolucion descuento electoral;2554097022;Recursos Nación
2024;18 - Articulo 87 CESU;1887283272;Recursos Nación
2024;20-Propios;17694610854;Recursos Propios
2024;31 - Posgrados;26103791358;Recursos Propios
2024;32 - Extension;7734009253;Recursos Propios
2024;33 - Convenios con derechos;267028378.9;Recursos Propios
2024;35 - Educacion continuada;1481038194;Recursos Propios
2025;10.0-Aportes Nacion - Funcionamiento;2.43112E+11;Recursos Nación
2025;10.1 - Aportes Nación - PIC Convencional;8107060464;Recursos Nación
2025;10.2 - Aportes Nación - PIC Territorial;1860055583;Recursos Nación
2025;10.5 - Aportes Nación - Política de gratuidad;10806170498;Recursos Nación
2025;13 - Cooperativas;795039146;Recursos Nación
2025;14 - Matriculas FSE;23800179379;Recursos Nación
2025;17 - Devolucion descuento electoral;5065024715;Recursos Nación
2025;18 - Articulo 87 CESU;1987309258;Recursos Nación
2025;20-Propios;11967518647;Recursos Propios
2025;21 - Devolucion IVA;1596053282;Recursos Propios
2025;31 - Posgrados;16952710911;Recursos Propios
2025;32 - Extension;16635582;Recursos Propios
2025;33 - Convenios con derechos;2771135861;Recursos Propios
2025;35 - Educacion continuada;239026834;Recursos Propios
2026;10.0-Aportes Nacion - Funcionamiento;3.01099E+11;Recursos Nación
2026;10.5 - Aportes Nación - Política de gratuidad;20708427143;Recursos Nación
2026;13 - Cooperativas;1330468203;Recursos Nación
2026;14 - Matriculas FSE;18737327483;Recursos Nación
2026;17 - Devolucion descuento electoral;5447536009;Recursos Nación
2026;18 - Articulo 87 CESU;427778274;Recursos Nación
2026;20-Propios;2981502472;Recursos Propios
2026;21 - Devolucion IVA;4587997825;Recursos Propios
2026;31 - Posgrados;7070533481;Recursos Propios
2026;32 - Extension;885387500;Recursos Propios
2026;33 - Convenios con derechos;5794318850;Recursos Propios
2026;35 - Educacion continuada;596625000;Recursos Propios
