Vigencia;Código recurso; Total ;Nación / Propio
2024;10.0-Aportes Nacion - Funcionamiento; $ 6,391,820,068 ;Recursos Nación
2024;13 - Cooperativas; $ 452,045,440 ;Recursos Nación
2024;14 - Matriculas FSE; $ 1,167,284,388 ;Recursos Nación
2024;20-Propios; $ 149,266,818 ;Recursos Propios
2024;31 - Posgrados; $ 3,843,418,616 ;Recursos Propios
2024;32 - Extension; $ 1,221,222,389 ;Recursos Propios
2024;33 - Convenios con derechos; $ 13,500,862,450 ;Recursos Propios
2024;35 - Educacion continuada; $ 489,136,920 ;Recursos Propios
2025;10.0-Aportes Nacion - Funcionamiento; $ 5,545,144,291 ;Recursos Nación
2025;17 - Devolucion descuento electoral; $ 12,426,000 ;Recursos Nación
2025;20-Propios; $ 327,727,096 ;Recursos Propios
2025;31 - Posgrados; $ 7,215,282,061 ;Recursos Propios
2025;32 - Extension; $ 1,121,649,465 ;Recursos Propios
2025;33 - Convenios con derechos; $ 20,410,851,085 ;Recursos Propios
2025;35 - Educacion continuada; $ 1,333,991,879 ;Recursos Propios
2026;10.0-Aportes Nacion - Funcionamiento; $ 8,988,048,627 ;Recursos Nación
2026;10.1 - Aportes Nación - PIC Convencional; $ 535,692,395 ;Recursos Nación
2026;10.5 - Aportes Nación - Política de gratuidad; $ 498,339,496 ;Recursos Nación
2026;14 - Matriculas FSE; $ 1,482,408,882 ;Recursos Nación
2026;20-Propios; $ 264,536,873 ;Recursos Propios
2026;31 - Posgrados; $ 3,827,485,567 ;Recursos Propios
2026;32 - Extension; $ 745,171,645 ;Recursos Propios
2026;33 - Convenios con derechos; $ 16,845,223,744 ;Recursos Propios
2026;35 - Educacion continuada; $ 392,125,780 ;Recursos Propios
