Vigencia;Recurso; Valor ;Nación / Propio
2020;10.0-Aportes Nacion - Funcionamiento; $ 211,154,363,875 ;Recursos Nación
2020;20-Propios; $ 40,455,079,141 ;Recursos Propios
2021;10.0-Aportes Nacion - Funcionamiento; $ 221,945,894,348 ;Recursos Nación
2021;20-Propios; $ 35,640,503,144 ;Recursos Propios
2022;10.0-Aportes Nacion - Funcionamiento; $ 245,949,740,526 ;Recursos Nación
2022;20-Propios; $ 32,269,389,498 ;Recursos Propios
2023;10.0-Aportes Nacion - Funcionamiento; $ 288,608,934,468 ;Recursos Nación
2023;20-Propios; $ 35,785,871,947 ;Recursos Propios
2024;10.0-Aportes Nacion - Funcionamiento; $ 253,027,614,910 ;Recursos Nación
2024;13-Cooperativas; $ 2,078,952,993 ;Recursos Nación
2024;14-Matriculas FSE; $ 37,090,700,264 ;Recursos Nación
2024;17-Devolucion descuento electoral; $ 4,531,561,319 ;Recursos Nación
2024;18-Articulo 87 CESU; $ 1,067,037,785 ;Recursos Nación
2024;20-Propios; $ 28,280,993,820 ;Recursos Propios
2025;10.0-Aportes Nacion - Funcionamiento; $ 274,314,295,313 ;Recursos Nación
2025;10.1-Aportes Nación - PIC Convencional; $ 10,080,716,557 ;Recursos Nación
2025;10.2-Aportes Nación - PIC Territorial; $ 2,835,297,958 ;Recursos Nación
2025;10.4-Aportes Nación - Saldos PIC Territorial; $ 1,496,887,846 ;Recursos Nación
2025;13-Cooperativas; $ 2,080,840,690 ;Recursos Nación
2025;14-Matriculas FSE; $ 44,224,691,856 ;Recursos Nación
2025;17-Devolucion descuento electoral; $ 5,183,761,916 ;Recursos Nación
2025;18-Articulo 87 CESU; $ 457,065,634 ;Recursos Nación
2025;20-Propios; $ 21,440,920,850 ;Recursos Propios
2025;21-Devolucion IVA; $ 7,981,747,901 ;Recursos Propios
2026;10.0-Aportes Nacion - Funcionamiento; $ 314,781,873,726 ;Recursos Nación
2026;10.5-Aportes Nación - Política de gratuidad; $ 20,708,427,143 ;Recursos Nación
2026;13-Cooperativas; $ 2,126,284,735 ;Recursos Nación
2026;14-Matriculas FSE; $ 18,737,327,483 ;Recursos Nación
2026;17-Devolucion descuento electoral; $ 5,447,536,009 ;Recursos Nación
2026;18-Articulo 87 CESU; $ 427,778,274 ;Recursos Nación
2026;20-Propios; $ 17,299,519,752 ;Recursos Propios
2026;21-Devolucion IVA; $ 4,587,997,825 ;Recursos Propios
